iter	RMSE
0	0.9980344146
1	0.9977312981
2	0.9974071413
3	0.9971294052
4	0.9968409151
5	0.9966014147
6	0.9963022859
7	0.9959608811
8	0.9956676915
9	0.9953834023
10	0.9951338076
11	0.994887924
12	0.9946483144
13	0.9944072682
14	0.9941074136
15	0.9938240249
16	0.9935162393
17	0.9932141763
18	0.9929637076
19	0.9927427732
20	0.9925029089
21	0.9922668361
22	0.9920234012
23	0.9917300022
24	0.9915026685
25	0.9912840762
26	0.9910220839
27	0.9907915234
28	0.990561107
29	0.9903808756
30	0.9901662889
31	0.9899725968
32	0.9897051114
33	0.9894813708
34	0.9893073117
35	0.989082722
36	0.9888227217
37	0.9885491127
38	0.9882955457
39	0.9881196588
40	0.987848499
41	0.9876573604
42	0.987401779
43	0.9872365134
44	0.9870770082
45	0.9868136343
46	0.9865991982
47	0.9863799826
48	0.9861846199
49	0.9859444846
50	0.9857441339
51	0.9855511296
52	0.9853470875
53	0.9851556624
54	0.9849746408
