iter	Passed	Remaining
0	12	12242
1	36	18395
2	46	15606
3	56	14032
4	71	14294
5	81	13531
6	91	12978
7	101	12564
8	110	12211
9	120	11950
10	129	11672
11	139	11485
12	148	11309
13	158	11141
14	167	11020
15	177	10919
16	186	10811
17	196	10716
18	206	10670
19	217	10639
20	226	10572
21	236	10516
22	246	10468
23	256	10413
24	269	10505
25	278	10430
26	287	10364
27	296	10288
28	305	10223
29	313	10148
30	322	10090
31	331	10033
32	340	9974
33	349	9921
34	357	9866
35	366	9820
36	375	9775
37	384	9726
38	393	9686
39	401	9646
40	411	9622
41	420	9581
42	428	9544
43	437	9511
44	446	9480
45	455	9447
46	463	9407
47	472	9371
48	481	9335
49	490	9313
50	498	9283
51	507	9257
52	516	9225
53	524	9196
54	533	9166
