iter	Passed	Remaining
0	208	208589
1	310	154892
2	405	134883
3	497	123831
4	586	116642
5	673	111551
6	759	107689
7	847	105094
8	932	102700
9	1021	101149
10	1105	99433
11	1192	98209
12	1280	97204
13	1366	96235
14	1450	95267
15	1536	94474
16	1622	93836
17	1709	93276
18	1797	92791
19	1884	92363
20	1976	92130
21	2064	91789
22	2152	91424
23	2240	91102
24	2328	90827
25	2415	90476
26	2503	90221
27	2588	89858
28	2677	89633
29	2764	89377
30	2850	89098
31	2937	88864
32	3035	88942
33	3121	88697
34	3208	88472
35	3295	88251
36	3382	88041
37	3481	88131
38	3566	87889
39	3653	87684
40	3739	87465
41	3825	87247
42	3909	87017
43	3995	86809
44	4081	86619
45	4168	86456
46	4255	86295
47	4342	86127
48	4431	86011
49	4518	85856
50	4606	85716
51	4694	85593
52	4783	85464
53	4871	85338
54	4958	85204
55	5045	85060
56	5133	84930
57	5221	84799
58	5324	84920
59	5423	84973
60	5526	85074
61	5635	85255
62	5737	85331
63	5822	85161
64	5915	85095
65	6001	84933
66	6086	84757
67	6173	84614
68	6262	84492
69	6347	84336
70	6433	84178
71	6518	84015
72	6604	83873
73	6691	83730
74	6782	83654
75	6871	83548
76	6958	83413
77	7044	83272
78	7128	83105
79	7213	82953
80	7297	82794
81	7383	82656
82	7466	82486
83	7551	82351
84	7635	82192
85	7720	82052
86	7807	81932
87	7892	81792
88	7976	81651
89	8060	81503
90	8145	81361
91	8230	81233
92	8314	81085
93	8398	80942
94	8481	80798
95	8567	80674
96	8652	80545
97	8735	80403
98	8818	80255
99	8901	80117
100	8990	80024
101	9078	79927
102	9163	79801
103	9249	79689
104	9341	79626
105	9425	79494
106	9519	79448
107	9617	79435
108	9706	79344
109	9791	79220
110	9874	79083
111	9961	78982
112	10050	78889
113	10135	78770
114	10224	78682
115	10311	78578
116	10397	78469
117	10485	78371
118	10569	78253
119	10653	78123
120	10735	77987
121	10818	77860
122	10899	77715
123	10983	77591
124	11071	77503
125	11154	77376
126	11238	77250
127	11324	77148
128	11413	77062
129	11502	76977
130	11591	76891
131	11678	76796
132	11766	76706
133	11855	76615
134	11941	76511
135	12028	76414
136	12112	76296
137	12199	76202
138	12284	76094
139	12369	75982
140	12454	75877
141	12547	75814
142	12639	75747
143	12736	75710
144	12826	75632
145	12911	75524
146	12993	75395
147	13077	75282
148	13159	75160
149	13244	75053
150	13331	74958
151	13416	74849
152	13499	74731
153	13583	74620
154	13665	74498
155	13752	74406
156	13842	74328
157	13927	74221
158	14010	74107
159	14102	74035
160	14191	73953
161	14278	73859
162	14360	73738
163	14447	73647
164	14532	73543
165	14618	73442
166	14700	73325
167	14784	73216
168	14868	73113
169	14954	73013
170	15041	72918
171	15119	72782
172	15198	72654
173	15279	72534
174	15362	72423
175	15442	72297
176	15521	72169
177	15599	72040
178	15679	71913
179	15760	71797
180	15840	71676
181	15919	71548
182	16003	71445
183	16089	71352
184	16167	71223
185	16253	71130
186	16335	71018
187	16423	70937
188	16511	70852
189	16597	70759
190	16688	70684
191	16775	70597
192	16863	70513
193	16947	70411
194	17029	70302
195	17116	70213
196	17204	70127
197	17288	70027
198	17375	69938
199	17460	69840
200	17547	69755
201	17629	69646
202	17711	69536
203	17799	69452
204	17886	69365
205	17973	69277
206	18061	69190
207	18143	69085
208	18227	68984
209	18313	68893
210	18396	68789
211	18485	68708
212	18564	68594
213	18653	68512
214	18739	68421
215	18824	68327
216	18912	68240
217	18990	68122
218	19074	68022
219	19155	67914
220	19238	67812
221	19322	67717
222	19410	67632
223	19501	67557
224	19590	67478
225	19679	67398
226	19762	67297
227	19849	67210
228	19936	67121
229	20022	67030
230	20108	66941
231	20191	66842
232	20276	66748
233	20361	66652
234	20447	66564
235	20531	66465
236	20621	66388
237	20712	66313
238	20796	66218
239	20876	66110
240	20959	66010
241	21047	65924
242	21130	65826
243	21211	65720
244	21295	65625
245	21372	65508
246	21453	65403
247	21533	65296
248	21610	65179
249	21692	65077
250	21777	64986
251	21862	64894
252	21948	64803
253	22035	64719
254	22116	64613
255	22197	64510
256	22284	64426
257	22370	64336
258	22450	64230
259	22531	64127
260	22608	64014
261	22692	63919
262	22779	63835
263	22860	63733
264	22946	63644
265	23032	63556
266	23111	63448
267	23196	63358
268	23283	63271
269	23371	63190
270	23454	63094
271	23539	63003
272	23623	62908
273	23708	62819
274	23795	62733
275	23880	62642
276	23963	62546
277	24046	62452
278	24132	62363
279	24216	62271
280	24297	62169
281	24374	62060
282	24449	61943
283	24532	61850
284	24617	61759
285	24703	61672
286	24789	61585
287	24873	61491
288	24960	61407
289	25042	61310
290	25125	61215
291	25206	61117
292	25286	61015
293	25375	60934
294	25461	60848
295	25546	60758
296	25631	60671
297	25716	60580
298	25796	60478
299	25884	60396
300	25965	60299
301	26047	60202
302	26134	60117
303	26214	60017
304	26300	59930
305	26385	59842
306	26469	59749
307	26551	59653
308	26634	59562
309	26720	59473
310	26802	59378
311	26887	59290
312	26987	59235
313	27067	59135
314	27159	59061
315	27253	58991
316	27346	58920
317	27444	58858
318	27522	58754
319	27602	58654
320	27686	58564
321	27773	58479
322	27854	58382
323	27942	58299
324	28025	58207
325	28111	58121
326	28197	58034
327	28284	57949
328	28366	57853
329	28448	57759
330	28528	57659
331	28612	57569
332	28696	57478
333	28779	57386
334	28859	57288
335	28941	57193
336	29031	57114
337	29116	57026
338	29193	56923
339	29273	56825
340	29357	56735
341	29441	56644
342	29527	56559
343	29608	56463
344	29692	56372
345	29766	56264
346	29856	56184
347	29941	56096
348	30026	56008
349	30115	55928
350	30200	55840
351	30278	55740
352	30362	55650
353	30445	55558
354	30531	55472
