iter	Passed	Remaining
0	8	8384
1	14	7476
2	21	7130
3	28	7046
4	35	6995
5	41	6919
6	48	6922
7	55	6879
8	62	6857
9	69	6850
10	75	6821
11	82	6811
12	89	6801
13	96	6802
14	103	6806
15	110	6785
16	117	6773
17	123	6736
18	130	6732
19	137	6717
20	143	6684
21	150	6680
22	156	6658
23	163	6651
24	170	6634
25	176	6613
26	182	6589
27	189	6580
28	196	6584
29	203	6577
30	210	6575
31	217	6571
32	224	6571
33	231	6586
34	238	6587
35	245	6567
36	252	6564
37	259	6568
38	266	6560
39	273	6556
40	280	6549
41	286	6538
42	294	6543
43	300	6534
44	307	6523
45	314	6519
46	320	6507
47	327	6499
48	333	6478
49	340	6470
50	347	6459
51	353	6445
52	359	6430
53	366	6422
54	373	6422
55	380	6414
56	387	6411
