iter	RMSE
0	0.9971909792
1	0.9967071231
2	0.9962354129
3	0.9957736351
4	0.9953176923
5	0.9948789329
6	0.9944457994
7	0.9940188872
8	0.9935922622
9	0.9931703981
10	0.9927675504
11	0.9923604158
12	0.9919703805
13	0.991578659
14	0.9912008189
15	0.9908209467
16	0.9904566872
17	0.9900911423
18	0.9897413207
19	0.9893913164
20	0.9890499059
21	0.9887053327
22	0.9883748636
23	0.9880435147
24	0.9877215536
25	0.9873898967
26	0.9870795075
27	0.9867726935
28	0.9864620509
29	0.9861560525
30	0.9858643974
31	0.9855769561
32	0.9852923678
33	0.9850048486
34	0.9847288509
35	0.9844426813
36	0.9841686345
37	0.9838892831
38	0.9836225703
39	0.9833568551
40	0.983097936
41	0.9828429633
42	0.9825909883
43	0.9823416264
44	0.9820910406
45	0.9818389321
46	0.9815896174
47	0.9813612666
48	0.9811273514
49	0.9809007105
50	0.9806755969
51	0.9804393717
52	0.9802113492
53	0.9799887018
54	0.9797677341
55	0.979546627
56	0.9793391389
57	0.9791216067
58	0.9789108637
59	0.9787059286
60	0.9784993077
61	0.978299455
62	0.9780944815
63	0.9778905111
64	0.9776839272
65	0.9774851337
66	0.9772850139
67	0.9770817719
68	0.9768903059
69	0.9767005381
70	0.9765124993
71	0.976322658
72	0.9761286477
73	0.975937983
74	0.975750606
75	0.9755716418
76	0.975397619
77	0.975219579
78	0.9750394082
79	0.974869218
80	0.9746925509
81	0.9745310577
82	0.9743621886
83	0.9741870196
84	0.9740107989
85	0.9738427099
86	0.9736723706
87	0.9735045534
88	0.9733335543
89	0.9731671203
90	0.972998465
91	0.9728312526
92	0.9726740781
93	0.9725093345
94	0.9723499136
95	0.972189775
96	0.9720328575
97	0.9718757644
98	0.9717161492
99	0.9715658338
100	0.9714130279
101	0.9712520728
102	0.9710903085
103	0.9709291796
104	0.9707881058
105	0.9706460479
106	0.9704882785
107	0.9703356041
108	0.9701876657
109	0.970042778
110	0.9698922334
111	0.9697439259
112	0.9695934856
113	0.9694485995
114	0.9693061644
115	0.9691650957
116	0.9690200853
117	0.968877919
118	0.9687299088
119	0.9685961492
120	0.9684505103
121	0.9683191571
122	0.9681822615
123	0.9680416328
124	0.9678984773
125	0.967773633
126	0.9676407078
127	0.9674994868
128	0.9673619918
129	0.9672272573
130	0.9670948614
131	0.966970669
132	0.9668339453
133	0.966703491
134	0.9665657316
135	0.9664255028
136	0.9662993188
137	0.9661612295
138	0.9660300793
139	0.9659002427
140	0.9657711452
141	0.9656393972
142	0.9655233727
143	0.965393801
144	0.9652604572
145	0.9651297297
146	0.9650010744
147	0.9648850639
148	0.9647560427
149	0.9646349428
150	0.9645082215
151	0.964385272
152	0.9642670354
153	0.964140872
154	0.9640149954
155	0.9638892539
156	0.9637555806
157	0.9636317161
158	0.9635085638
159	0.9633796616
160	0.9632559005
161	0.9631443836
162	0.9630170413
163	0.9628961779
164	0.9627753905
165	0.9626647591
166	0.9625505623
167	0.9624466469
168	0.9623300855
169	0.9622165476
170	0.9620881711
171	0.9619787368
172	0.9618671933
173	0.9617441189
174	0.9616320924
175	0.9615171345
176	0.9614014029
177	0.9612929546
178	0.9611831865
179	0.9610565271
180	0.9609444203
181	0.9608332739
182	0.9607105234
183	0.960601632
184	0.9604916327
185	0.9603861859
186	0.9602704701
187	0.9601449384
188	0.9600289805
189	0.9599012858
190	0.9597766194
191	0.9596701498
192	0.9595582771
193	0.9594526058
194	0.959350061
195	0.9592305334
196	0.9591153791
197	0.9590094457
198	0.9588929238
199	0.9587788264
200	0.9586702948
201	0.9585637634
202	0.9584530728
203	0.9583385266
204	0.9582254308
205	0.9581007904
206	0.9579894666
207	0.9578904877
208	0.9577860973
209	0.9576795285
210	0.957569804
211	0.9574607385
212	0.9573581635
213	0.9572495014
214	0.9571329484
215	0.9570155871
216	0.9568916749
217	0.9567984477
218	0.9566861475
219	0.9565819922
220	0.9564691471
221	0.9563668019
222	0.9562608086
223	0.9561430957
224	0.9560243595
225	0.9559036516
226	0.9558112453
227	0.9557013981
228	0.9555891831
229	0.9554821552
230	0.9553736468
231	0.9552849832
232	0.9551971375
233	0.9550811604
