iter	Passed	Remaining
0	100	100565
1	206	102884
2	305	101554
3	401	99983
4	493	98287
5	585	97042
6	677	96087
7	771	95691
8	866	95385
9	955	94636
10	1049	94363
11	1141	94008
12	1233	93635
13	1325	93364
14	1417	93071
15	1507	92714
16	1591	92013
17	1676	91442
18	1761	90945
19	1845	90442
20	1930	89982
21	2015	89586
22	2099	89178
23	2186	88926
24	2277	88805
25	2369	88778
26	2461	88690
27	2552	88612
28	2643	88504
29	2735	88446
30	2826	88336
31	2917	88268
32	3008	88170
33	3101	88115
34	3190	87961
35	3282	87893
36	3374	87833
37	3462	87657
38	3552	87526
39	3642	87426
40	3733	87325
41	3822	87197
42	3914	87128
43	4005	87020
44	4095	86924
45	4188	86868
46	4278	86756
47	4371	86700
48	4460	86566
49	4552	86488
50	4641	86362
51	4733	86302
52	4825	86226
53	4915	86118
54	5001	85938
55	5092	85849
56	5183	85752
57	5267	85553
58	5354	85396
59	5440	85241
60	5530	85129
61	5620	85027
62	5711	84950
63	5797	84786
64	5886	84674
65	5975	84562
66	6061	84402
67	6150	84299
68	6239	84194
69	6328	84082
70	6417	83975
71	6507	83868
72	6594	83740
73	6685	83653
74	6771	83514
75	6860	83405
76	6950	83310
77	7038	83200
78	7128	83103
79	7215	82982
80	7305	82890
81	7394	82786
82	7484	82689
83	7574	82595
84	7662	82488
85	7750	82369
86	7838	82264
87	7929	82178
88	8019	82082
89	8108	81983
90	8196	81870
91	8286	81780
92	8374	81669
93	8461	81552
94	8549	81444
95	8640	81362
96	8726	81241
97	8814	81130
98	8901	81009
99	8989	80901
100	9078	80806
101	9167	80705
102	9254	80594
103	9344	80504
104	9430	80379
105	9516	80260
106	9606	80171
107	9689	80025
108	9778	79934
109	9867	79836
110	9954	79727
111	10041	79614
112	10130	79517
113	10218	79416
114	10307	79324
115	10389	79175
116	10477	79071
117	10564	78965
118	10648	78837
119	10731	78699
120	10814	78560
121	10901	78453
122	10986	78336
123	11073	78227
124	11160	78122
125	11246	78008
126	11332	77900
127	11419	77792
128	11508	77705
129	11597	77611
130	11684	77512
131	11773	77420
132	11862	77326
133	11951	77235
134	12040	77147
135	12127	77047
136	12208	76902
137	12295	76804
138	12382	76700
139	12470	76602
140	12556	76496
141	12643	76395
142	12727	76273
143	12812	76162
144	12897	76053
145	12985	75957
146	13071	75848
147	13160	75759
148	13246	75656
149	13334	75560
150	13424	75480
151	13507	75356
152	13593	75251
153	13677	75139
154	13765	75044
155	13853	74948
156	13942	74865
157	14022	74727
158	14106	74615
159	14193	74518
160	14282	74428
161	14366	74316
162	14452	74213
163	14538	74112
164	14622	73999
165	14708	73895
166	14786	73756
167	14872	73653
168	14954	73531
169	15040	73431
170	15127	73336
171	15210	73223
172	15290	73093
173	15380	73014
174	15466	72911
175	15544	72778
176	15625	72652
177	15709	72545
178	15791	72429
179	15874	72316
180	15955	72196
181	16039	72090
182	16125	71994
183	16211	71893
184	16292	71774
185	16371	71648
186	16453	71531
187	16541	71443
188	16628	71353
189	16713	71254
190	16800	71162
191	16886	71063
192	16967	70946
193	17046	70821
194	17124	70693
195	17208	70591
196	17295	70500
197	17381	70403
198	17468	70313
199	17552	70210
200	17638	70117
201	17720	70002
202	17799	69884
203	17880	69770
204	17965	69669
205	18047	69561
206	18134	69471
207	18213	69351
208	18292	69231
209	18377	69134
210	18462	69036
211	18543	68924
212	18623	68809
213	18711	68725
214	18797	68634
215	18882	68535
216	18964	68430
217	19043	68310
218	19127	68213
219	19211	68114
220	19298	68025
221	19380	67920
222	19461	67810
223	19546	67714
224	19635	67633
225	19717	67529
226	19802	67432
227	19889	67343
228	19975	67252
229	20057	67148
230	20144	67060
231	20225	66953
232	20308	66851
233	20385	66732
234	20470	66637
235	20553	66537
236	20640	66448
237	20717	66332
238	20800	66230
239	20883	66131
240	20966	66032
241	21053	65944
242	21139	65853
243	21219	65746
244	21300	65641
245	21380	65530
246	21462	65429
247	21545	65331
248	21624	65221
249	21708	65124
250	21791	65027
251	21874	64930
252	21957	64831
253	22042	64739
254	22124	64639
255	22205	64534
256	22288	64438
257	22368	64331
258	22443	64211
259	22526	64114
260	22606	64007
261	22684	63897
262	22772	63814
263	22849	63702
264	22935	63614
265	23020	63523
266	23097	63408
267	23175	63299
268	23260	63209
269	23348	63127
270	23432	63033
271	23515	62937
272	23592	62828
273	23678	62738
274	23763	62650
275	23848	62558
276	23934	62471
277	24017	62377
278	24103	62290
279	24184	62187
280	24266	62090
281	24338	61967
282	24411	61848
283	24490	61744
284	24575	61654
285	24661	61566
286	24747	61479
287	24829	61385
288	24916	61299
289	25002	61212
290	25083	61115
291	25166	61020
292	25244	60913
293	25329	60825
294	25415	60738
295	25500	60649
296	25581	60551
297	25668	60468
298	25750	60370
299	25837	60288
300	25913	60177
301	25995	60081
302	26081	59996
303	26165	59906
304	26249	59814
305	26332	59721
306	26410	59616
307	26492	59522
308	26576	59430
309	26661	59343
310	26742	59247
311	26828	59159
312	26913	59071
313	26996	58979
314	27083	58896
315	27162	58793
316	27243	58697
317	27329	58612
318	27411	58517
319	27491	58419
320	27583	58345
321	27679	58281
322	27766	58198
323	27862	58133
324	27953	58056
325	28055	58003
326	28145	57926
327	28237	57851
328	28320	57760
329	28402	57666
330	28482	57566
331	28565	57475
332	28647	57380
333	28728	57285
334	28810	57190
335	28888	57089
336	28975	57005
337	29055	56906
338	29136	56811
339	29212	56706
340	29289	56603
341	29371	56510
342	29458	56427
343	29538	56329
344	29616	56229
345	29685	56109
346	29774	56030
347	29852	55930
348	29936	55842
349	30023	55758
350	30110	55673
351	30186	55570
352	30269	55480
353	30352	55388
354	30436	55299
355	30517	55206
356	30594	55105
357	30682	55022
358	30766	54934
359	30850	54846
360	30936	54759
361	31022	54675
362	31108	54589
363	31193	54503
364	31269	54400
365	31354	54312
366	31431	54212
367	31515	54124
368	31600	54037
369	31686	53953
370	31772	53866
371	31856	53779
372	31941	53691
373	32021	53596
374	32105	53509
375	32188	53419
376	32272	53331
377	32358	53245
378	32444	53161
379	32527	53070
380	32607	52976
381	32692	52890
382	32779	52807
383	32858	52711
384	32938	52616
385	33013	52514
386	33100	52431
387	33187	52346
388	33273	52262
389	33351	52165
390	33437	52080
391	33522	51993
392	33606	51905
393	33693	51822
394	33775	51731
395	33860	51645
396	33943	51556
397	34025	51465
398	34101	51365
399	34182	51273
400	34265	51185
401	34355	51106
402	34441	51021
403	34527	50936
404	34612	50850
405	34696	50762
406	34782	50678
407	34871	50597
408	34955	50510
409	35036	50417
410	35117	50327
411	35204	50243
412	35284	50149
413	35359	50050
414	35444	49964
415	35528	49877
416	35601	49774
417	35685	49686
418	35771	49602
419	35855	49514
420	35933	49419
421	36018	49333
422	36100	49243
423	36184	49156
424	36265	49064
425	36354	48984
426	36438	48897
427	36515	48801
428	36596	48710
429	36679	48621
430	36752	48519
431	36831	48426
432	36910	48333
433	36999	48253
434	37080	48161
435	37149	48056
436	37232	47967
437	37315	47879
438	37395	47787
439	37467	47686
440	37550	47598
441	37631	47508
442	37712	47417
443	37790	47323
444	37871	47232
445	37954	47145
446	38042	47063
447	38123	46973
448	38204	46883
449	38282	46790
450	38365	46701
451	38444	46610
452	38522	46516
453	38660	46494
454	38766	46434
455	38864	46364
456	38960	46291
457	39058	46222
458	39163	46160
459	39274	46104
460	39371	46033
461	39488	45984
462	39625	45958
463	39759	45928
464	39903	45910
465	40034	45875
466	40168	45845
467	40304	45816
468	40424	45768
469	40524	45698
470	40644	45649
471	40750	45584
472	40874	45540
473	40979	45475
474	41087	45412
475	41189	45343
476	41300	45283
477	41450	45265
478	41554	45197
479	41653	45124
480	41756	45054
481	41858	44984
482	41974	44928
483	42071	44853
484	42166	44774
485	42272	44707
486	42388	44651
487	42539	44631
488	42637	44556
489	42749	44494
490	42859	44430
491	42980	44378
492	43110	44335
493	43230	44280
494	43328	44203
495	43432	44133
496	43553	44079
497	43657	44008
498	43763	43938
499	43881	43881
500	44006	43831
501	44150	43798
502	44253	43725
