iter	RMSE
0	0.9979464017
1	0.9973850002
2	0.9971379349
3	0.9969422045
4	0.9967658781
5	0.9964287865
6	0.9962865205
7	0.9961661201
8	0.9960882647
9	0.9957675674
10	0.9956577577
11	0.9955075653
12	0.9954252338
13	0.995279911
14	0.9952017281
15	0.9951247562
16	0.9950028134
17	0.9949498784
18	0.9948330055
19	0.9947125398
20	0.9946073741
21	0.994521462
22	0.9944058307
23	0.994338136
24	0.9942665606
25	0.9940887258
26	0.9939822017
27	0.9939317233
28	0.9938571643
29	0.9937652042
30	0.9937308924
31	0.9936411738
32	0.9935729467
33	0.9935172018
34	0.9934616384
35	0.9934303087
36	0.9933760336
37	0.9933306975
38	0.9932790036
39	0.9932083866
40	0.9931508473
41	0.9930846562
42	0.9930303253
43	0.992937919
44	0.9928773327
45	0.9928397001
46	0.9928029902
47	0.9927365542
48	0.9926616466
49	0.9925996753
50	0.9925714246
51	0.9924992781
52	0.9923600364
53	0.9922946063
54	0.9921829696
55	0.9921083531
56	0.9920185988
57	0.991945709
58	0.991907005
59	0.9918506483
60	0.9917916239
61	0.9917506564
62	0.9917236028
63	0.9916242272
64	0.9915882867
65	0.9915362058
66	0.9914846405
67	0.9914252982
68	0.9913840933
69	0.9913494399
70	0.991302493
71	0.9912616904
72	0.9912135914
73	0.9911033513
74	0.9910289498
75	0.9909620615
76	0.9908990209
77	0.990844459
78	0.9907955248
79	0.9907618511
80	0.9907271389
81	0.9906439654
82	0.9905927983
83	0.9905304752
84	0.9904705569
85	0.9904371686
86	0.9903432602
87	0.9902475638
88	0.9901695766
89	0.9901484479
90	0.9901009621
91	0.9900193302
92	0.9899677229
93	0.9899164837
94	0.9898483708
95	0.9898091768
96	0.9897482136
97	0.9897102024
98	0.9896546107
99	0.9895793215
100	0.9895012074
101	0.9894449363
102	0.9893862878
103	0.9893399155
104	0.9892973253
105	0.9892009711
106	0.9891452395
107	0.9891142926
108	0.98906839
109	0.9890068616
110	0.9889541252
111	0.9888504255
112	0.9888161288
113	0.9887379916
114	0.988690401
115	0.9886379447
116	0.9885872677
117	0.9885502143
118	0.9884944831
119	0.9884240442
120	0.9883653722
121	0.9883075138
122	0.9882227625
123	0.9881876268
124	0.9881088456
125	0.9880887129
126	0.9880388621
127	0.9879916093
128	0.9878712382
129	0.9878299222
130	0.9877791667
131	0.9877227602
132	0.987670587
133	0.9876271072
134	0.987590278
135	0.9875489875
136	0.9874984404
137	0.9874526114
138	0.9874050703
139	0.9873538468
