iter	Passed	Remaining
0	3	3552
1	6	3287
2	9	3114
3	11	2974
4	14	2882
5	17	2863
6	19	2826
7	22	2770
8	24	2741
9	28	2772
10	30	2757
11	33	2725
12	35	2709
13	38	2699
14	41	2694
15	43	2680
16	46	2674
17	48	2669
18	51	2665
19	54	2657
20	56	2652
21	59	2638
22	61	2627
23	64	2620
24	67	2613
25	69	2607
26	72	2607
27	75	2604
28	77	2597
29	80	2591
30	82	2589
31	85	2589
32	88	2588
33	90	2581
34	93	2574
35	95	2563
36	98	2560
37	101	2556
38	103	2549
39	106	2544
40	108	2540
41	111	2537
42	113	2532
43	116	2527
44	118	2523
45	121	2520
46	124	2516
47	126	2510
48	129	2508
49	131	2505
50	134	2501
51	136	2496
52	139	2492
53	142	2489
54	144	2485
55	147	2482
56	149	2478
57	152	2470
58	154	2466
59	157	2460
60	159	2455
61	162	2455
62	164	2453
63	167	2448
64	169	2443
65	172	2441
66	175	2443
67	177	2439
68	180	2437
69	183	2432
70	185	2430
71	188	2426
72	190	2424
73	193	2420
74	195	2415
75	198	2411
76	200	2408
77	203	2406
78	206	2402
79	208	2397
80	210	2393
81	213	2388
82	215	2386
83	218	2380
84	220	2377
85	223	2373
86	225	2371
87	228	2366
88	230	2361
89	233	2356
90	235	2352
91	237	2348
92	240	2345
93	242	2341
94	245	2336
95	247	2332
96	249	2326
97	252	2323
98	254	2319
99	257	2317
100	259	2312
101	262	2308
102	264	2303
103	267	2300
104	269	2298
105	271	2293
106	274	2288
107	276	2283
108	279	2280
109	281	2277
110	283	2273
111	286	2270
112	288	2267
113	291	2263
114	293	2260
115	296	2257
116	298	2254
117	301	2251
118	303	2247
119	306	2245
120	308	2242
121	311	2240
122	313	2236
123	315	2232
124	318	2228
125	320	2223
126	322	2220
127	325	2217
128	327	2213
129	330	2209
130	332	2207
131	335	2204
132	337	2201
133	340	2197
134	342	2193
135	344	2189
136	347	2186
137	349	2185
138	352	2182
139	354	2180
