iter	RMSE
0	0.9971768592
1	0.9969175665
2	0.9966666735
3	0.9964197448
4	0.996174788
5	0.9959309007
6	0.9956904568
7	0.9954508591
8	0.9952173466
9	0.9949819699
10	0.9947471407
11	0.9945186672
12	0.9942895755
13	0.9940619778
14	0.99384097
15	0.9936161006
16	0.9933923129
17	0.9931750835
18	0.9929631701
19	0.9927473201
20	0.9925340306
21	0.992325193
22	0.9921114725
23	0.9919068942
24	0.9917005719
25	0.9915003724
26	0.9913004731
27	0.9910981872
28	0.9908980554
29	0.9906984509
30	0.9905032744
31	0.9903077564
32	0.9901147757
33	0.9899214163
34	0.9897332866
35	0.9895435292
36	0.9893563891
37	0.9891716023
38	0.9889871223
39	0.9888038216
40	0.9886263293
41	0.9884504367
42	0.9882741713
43	0.9880944582
44	0.9879227609
45	0.9877521729
46	0.9875797704
47	0.9874136432
48	0.9872431572
49	0.9870729456
50	0.9869071892
51	0.9867435334
52	0.986576505
53	0.9864151518
54	0.986250996
55	0.9860898558
56	0.9859334823
57	0.9857703878
58	0.985612099
59	0.9854530236
60	0.9852989091
61	0.9851456081
62	0.9849918263
63	0.9848429332
64	0.9846921893
65	0.9845422986
66	0.9843952044
67	0.9842482025
68	0.9840986633
69	0.9839516934
70	0.9838088951
71	0.983666648
72	0.9835243802
73	0.9833841896
74	0.9832428347
75	0.9831013831
76	0.9829580033
77	0.9828199453
78	0.982684654
79	0.9825477409
80	0.9824143592
81	0.9822766447
82	0.982142577
83	0.9820137997
84	0.9818856931
85	0.9817573788
86	0.9816262968
87	0.9814937834
88	0.9813666026
89	0.9812352772
90	0.9811080629
91	0.9809832408
92	0.9808591293
93	0.9807364935
94	0.9806130775
95	0.9804919411
96	0.9803723964
97	0.9802531433
98	0.9801313884
99	0.9800114553
100	0.9798938041
101	0.9797744162
102	0.9796589953
103	0.979539349
104	0.9794216411
105	0.9793025019
106	0.9791839229
107	0.9790687005
108	0.9789573724
109	0.9788425066
110	0.9787253663
111	0.9786130793
112	0.9784980964
113	0.9783892718
114	0.9782785181
115	0.9781675602
116	0.9780537137
117	0.9779420399
118	0.977833537
119	0.9777209174
120	0.9776100497
121	0.9775056537
122	0.9773992128
123	0.9772923766
124	0.9771861428
125	0.9770823157
126	0.9769779401
127	0.9768695988
128	0.976766698
129	0.9766633256
130	0.9765609023
131	0.9764578538
132	0.9763557931
133	0.9762560269
134	0.9761536761
135	0.9760497777
136	0.9759457912
137	0.975845714
138	0.9757506235
139	0.9756504878
140	0.9755512261
141	0.9754562607
142	0.9753575176
143	0.9752619948
144	0.9751640013
145	0.9750678826
146	0.9749737164
147	0.9748797334
148	0.9747867033
149	0.9746871997
150	0.9745969605
151	0.9745012093
152	0.9744054487
153	0.9743074459
154	0.9742160166
155	0.9741186108
156	0.9740293201
157	0.9739362473
158	0.9738406236
159	0.9737482261
160	0.9736609429
161	0.9735694529
162	0.9734746023
163	0.9733866011
164	0.9732912703
165	0.9732003236
166	0.973111334
167	0.9730217966
168	0.9729339086
169	0.9728443164
170	0.9727562581
171	0.972671161
172	0.9725801948
173	0.9724913028
174	0.9724046782
175	0.9723203604
176	0.9722342992
177	0.972150661
178	0.9720658967
179	0.9719783082
180	0.9718915607
181	0.9718037635
182	0.9717186215
183	0.9716311175
184	0.9715474274
185	0.9714618769
186	0.971380373
187	0.971296082
188	0.9712112431
189	0.9711258561
