iter	RMSE
0	0.9977353696
1	0.997374319
2	0.9970799016
3	0.9968865905
4	0.9967040623
5	0.9965715521
6	0.9963553748
7	0.9962479219
8	0.9961537102
9	0.9960363414
10	0.9959023421
11	0.9958321848
12	0.9957358797
13	0.9956693056
14	0.9955463699
15	0.9954567616
16	0.9953715352
17	0.9953157721
18	0.9952777543
19	0.9952376332
20	0.9951717731
21	0.9951442601
22	0.9950288745
23	0.9949997691
24	0.9949414622
25	0.9948815633
26	0.9948002128
27	0.9947293235
28	0.9946906757
29	0.9946474932
30	0.994627163
31	0.9945739289
32	0.994550419
33	0.9945094271
34	0.9944689011
35	0.9944354787
36	0.9943911163
37	0.9943603093
38	0.9943305765
39	0.9942882666
40	0.9942512381
41	0.9942139744
42	0.9941751196
43	0.9941113401
44	0.9940671504
45	0.9940237536
46	0.9939920934
47	0.9939519204
48	0.9939053382
49	0.9938733
50	0.9938371448
51	0.9938011753
