iter	Passed	Remaining
0	73	73570
1	76	38005
2	78	26054
3	80	20034
4	82	16398
5	84	14009
6	86	12299
7	89	11043
8	91	10048
9	93	9259
10	95	8610
11	98	8075
12	100	7607
13	102	7209
14	104	6865
15	106	6567
16	109	6304
17	111	6071
18	113	5862
19	115	5675
20	118	5505
21	120	5350
22	122	5198
23	124	5070
24	126	4950
25	129	4845
26	131	4743
27	133	4645
28	136	4553
29	138	4466
30	140	4388
31	142	4315
32	144	4243
33	147	4183
34	149	4120
35	151	4060
36	153	4002
37	155	3948
38	158	3896
39	160	3844
40	162	3797
41	164	3751
42	166	3708
43	168	3667
44	170	3628
45	173	3589
46	175	3554
47	177	3517
48	179	3485
49	181	3453
50	183	3423
51	186	3394
