iter	RMSE
0	0.9978257521
1	0.9972456133
2	0.9967730998
3	0.9963122976
4	0.9959056778
5	0.9955088091
6	0.9951113765
7	0.9945045597
8	0.9940424844
9	0.99364055
10	0.9932785814
11	0.9928840264
12	0.992524851
13	0.9920854562
14	0.9916789537
15	0.9912236329
16	0.9907672139
17	0.990483457
18	0.9901083242
19	0.9898771402
20	0.9894968814
21	0.9890626352
22	0.9887345147
23	0.9884152341
24	0.9880525027
25	0.9875928714
26	0.9871905046
27	0.9868445796
28	0.9865074995
29	0.9861172324
30	0.9857815044
31	0.9853734442
32	0.9850526643
33	0.9846219002
34	0.9841809162
35	0.9839199909
36	0.9834884695
37	0.9831529637
38	0.9828027049
39	0.9824804879
40	0.9820435129
41	0.9817074012
42	0.9813884522
43	0.9810181095
44	0.9807171241
45	0.9804233086
46	0.9800624127
47	0.9797999411
48	0.9794868908
49	0.9792168439
50	0.9788544907
51	0.9784531066
52	0.9780718587
53	0.9777165138
54	0.9773691132
55	0.9770720372
56	0.9767908773
57	0.9764889272
58	0.9761714689
59	0.9758700041
60	0.9755369948
61	0.9752499356
62	0.9749455508
63	0.9745179643
64	0.9742078505
65	0.9739001628
66	0.9736127341
67	0.9733212612
