iter	Passed	Remaining
0	24	24742
1	80	40320
2	99	33001
3	122	30553
4	148	29558
5	214	35589
6	229	32578
7	252	31361
8	276	30464
9	314	31087
10	362	32558
11	377	31104
12	400	30388
13	423	29816
14	480	31567
15	509	31356
16	533	30842
17	556	30359
18	602	31090
19	639	31339
20	661	30841
21	684	30445
22	718	30518
23	773	31463
24	789	30776
25	812	30429
26	834	30060
27	894	31057
28	914	30632
29	938	30330
30	961	30046
31	995	30110
32	1049	30766
33	1065	30282
34	1089	30036
35	1112	29790
36	1165	30346
37	1192	30193
38	1215	29950
39	1238	29724
40	1266	29623
41	1320	30125
42	1336	29741
43	1359	29527
44	1382	29335
45	1418	29420
46	1469	29805
47	1484	29445
48	1507	29254
49	1530	29072
50	1569	29211
51	1613	29424
52	1630	29126
53	1652	28953
54	1675	28789
55	1722	29032
56	1756	29052
57	1775	28842
58	1799	28695
59	1819	28511
60	1873	28832
61	1900	28755
62	1924	28617
63	1948	28492
64	1979	28467
65	2035	28804
66	2049	28543
67	2072	28412
